總體滿意度,使用信用卡支付的消費頻率,過往能使用電子支付情境下，通常的消費額度,在使用電子支付付款當下，會同時考量排隊人潮是否眾多（1完全不考量，5總是考量）,信用卡紅利的累計程度（1完全不累積，5常累積許多紅利）,我身邊同儕使用電子支付之多寡（1幾乎都沒有，5大部分都有）,在「能使用」電子支付的場合，使用電子支付之頻率_低頻,在「能使用」電子支付的場合，使用電子支付之頻率_高頻
1.6380978187177122,3,1,1,5,1,0,1
-0.17015127838482652,3,1,1,5,1,0,1
1.5088173305691157,4,1,2,2,4,0,1
1.0410194342055459,2,3,5,5,3,0,1
-2.6818167454081285,1,2,1,1,3,0,1
-1.9097850761727,2,1,2,4,1,0,1
0.09719375601215767,4,1,3,5,3,0,1
-3.35790213477719,2,1,2,3,2,0,1
-0.4141035491510907,3,2,1,1,1,0,1
-0.766417411297083,4,1,1,1,2,0,1
-0.5085843013928781,3,1,4,3,3,0,1
-1.9171797726731645,1,4,2,5,2,1,0
-0.5582644444332279,4,1,1,1,2,0,1
-2.6706895068161995,2,1,2,4,3,0,1
-0.27816526876428893,2,1,3,3,4,0,1
-0.5957887262685555,1,1,3,5,3,0,1
0.8599347946656926,2,4,3,5,3,0,1
0.3262316357174483,2,3,4,4,2,0,1
1.6003682642377561,5,1,1,4,3,0,1
-1.526933070192264,2,1,4,5,2,0,1
1.926047145973853,1,1,1,1,3,0,1
1.7045022474725515,1,2,2,5,2,0,1
1.651673249458848,3,1,1,5,3,0,1
0.46277045368186176,1,1,1,5,2,0,1
-2.65926479778249,3,1,2,5,3,0,1
-1.4829766878258814,3,3,1,5,2,0,1
1.9300455222528745,3,1,1,2,4,0,1
0.8154761594252231,1,1,2,5,3,0,1
-0.5108428358854216,1,4,2,3,3,0,1
-1.5094848191270807,3,1,1,1,3,0,1
0.42471076423825715,1,1,2,3,4,0,1
-0.6610172747447247,5,1,1,1,3,0,1
0.8191760369948191,2,1,1,5,3,0,1
-0.8970911620873006,2,1,1,5,3,0,1
-0.6379069821449355,1,1,4,4,4,0,1
0.3084246957890854,1,1,1,2,2,0,1
1.0815779778705186,1,1,1,5,2,0,1
-1.885721225472772,2,1,1,2,2,0,1
2.0824784956047213,1,2,1,2,1,0,1
-0.667632874379469,3,3,4,5,2,0,1
-0.2616705757992442,2,2,2,2,3,0,1
-0.5142391561068648,2,1,3,4,5,0,1
-0.39891383257845064,3,1,1,4,1,0,1
-1.14807944049085,2,1,3,2,2,0,1
0.46830693926149364,3,2,1,5,1,0,1
-2.7459821662063253,2,1,1,4,2,0,1
-2.3416835328816843,2,1,2,3,4,1,0
0.7027243481691043,1,1,1,5,2,0,1
0.6977667454492917,3,1,1,4,2,0,1
-3.9636501092970873,3,1,1,2,1,0,1
-2.8949010080973037,1,1,3,5,2,0,1
-1.6118789605753983,4,1,1,1,3,0,1
1.4278698164650034,5,1,1,3,2,0,1
-4.843561743488303,1,1,2,5,2,0,1
0.34202340834766665,3,2,1,4,4,0,1
0.8257916366295635,3,1,1,4,3,0,1
0.8551573215209509,3,1,3,3,3,0,1
-0.5364720671374091,1,1,1,4,4,0,1
-2.396237915290334,4,1,1,3,2,0,1
-0.10654420256078073,4,1,1,4,2,0,1
-2.0095619942652947,1,1,1,4,3,0,1
-0.8683260147735248,4,1,1,1,2,0,1
1.6668629660314882,3,1,1,5,4,0,1
-0.5957887262685555,1,1,2,5,3,0,1
0.3707885556614425,2,1,1,4,2,0,1
0.5771437375901037,1,1,4,4,1,0,1
0.19916748945793428,2,1,4,4,3,0,1
0.4587720774028402,4,2,1,1,2,0,1
-1.5077449773406024,2,1,2,5,2,0,1
-0.6976641750108077,1,1,1,1,2,0,1
1.9168158414633525,4,1,1,1,2,0,1
-0.5142391561068648,3,1,3,2,2,0,1
0.08807215663678075,2,2,2,3,2,0,1
1.6996264896242854,3,1,3,3,3,1,0
0.08062288651621896,2,2,1,5,3,0,1
1.1481163907476777,2,4,2,5,3,0,1
-1.5900736443680137,2,1,1,2,2,0,1
-0.5909129684202892,2,2,2,4,4,0,1
-0.3553055827260098,1,1,1,5,1,0,1
2.0824784956047213,2,1,1,4,5,0,1
-0.6638241557571108,1,1,2,4,3,0,1
-0.5665365225029373,4,1,4,4,4,1,0
1.8995405331526207,1,1,1,1,1,0,1
-1.0483992886218134,1,1,1,3,2,0,1
0.6281361275937716,5,1,4,2,3,0,1
1.3455411494375922,5,1,1,1,5,0,1
-1.3840771513025318,1,1,1,5,2,0,1
2.7671199938557445,1,1,5,5,4,0,1
-1.0287557406834142,5,1,1,3,2,0,1
-0.2067948091222907,3,1,3,3,3,0,1
-2.1165606661039025,3,1,1,5,4,0,1
1.062466061549751,3,1,1,5,1,0,1
0.7053415715248272,2,1,2,5,3,0,1
2.686516711223279,1,1,5,5,4,0,1
0.46866714660463976,4,1,1,1,5,0,1
-0.5935301917760121,5,1,5,4,3,1,0
-0.017898434608050684,3,1,1,1,3,0,1
-2.736447304347672,5,1,4,3,1,0,1
0.6938517325217832,1,1,1,5,3,0,1
3.3777738091090463,1,1,1,5,1,0,1
-0.36876601386140945,1,1,1,3,2,0,1
1.44044230968192,4,1,4,1,2,0,1
0.35821606244452525,2,2,4,4,4,0,1
0.23728736905529274,5,1,4,4,2,0,1
-1.4820174613850905,3,1,2,5,4,0,1
1.9561949646908943,3,1,1,2,3,0,1
-2.7742736250511855,2,4,3,4,2,0,1
-2.249039388649933,1,1,1,5,3,0,1
0.20990337466481557,3,1,2,5,5,0,1
0.6277759202506255,3,1,2,4,3,0,1
